model,recipe,n_seeds,U_mean,clean_mean,dClean_mean,dClean_seeds,dClean_sd,FA_mean,FA_ok,noninf_d0,noninf_d0.005,noninf_d0.01,noninf_d0.02
llama31-8b,CD1200c,3,0.5195,0.7095,-0.0032,+0.0075;+0.0132;-0.0303,0.0236,0.0013,True,False,True,True,True
llama31-8b,CD1200d,1,0.492,0.6843,-0.0284,-0.0284,,0.0,True,False,False,False,False
llama31-8b,CD300,1,0.483,0.7127,0.0,+0.0000,,0.4618,False,True,True,True,True
llama31-8b,CD600,1,0.4887,0.707,-0.0057,-0.0057,,0.0281,True,False,False,True,True
llama31-8b,CD900,1,0.5208,0.6843,-0.0284,-0.0284,,0.0,True,False,False,False,False
llama31-8b,conserv,1,0.4891,0.7013,-0.0114,-0.0114,,0.0,True,False,False,False,True
llama31-8b,optimal,1,0.5392,0.7164,0.0037,+0.0037,,0.1727,False,True,True,True,True
llama31-8b,optimalv2,1,0.5142,0.6824,-0.0303,-0.0303,,0.0,True,False,False,False,False
llama31-8b,uniform,1,0.5075,0.6994,-0.0133,-0.0133,,0.0,True,False,False,False,True
llama31-8b,v3frontier,3,0.5849,0.7051,-0.0076,-0.0095;-0.0152;+0.0019,0.0087,0.0241,True,False,False,True,True
mistral-7b,CD1200c,1,0.4504,0.3932,-0.0019,-0.0019,,0.9719,False,False,True,True,True
mistral-7b,CD1200d,1,0.4608,0.3932,-0.0019,-0.0019,,0.4739,False,False,True,True,True
mistral-7b,CD300,1,0.5579,0.4159,0.0208,+0.0208,,0.2972,False,True,True,True,True
mistral-7b,CD600,1,0.4452,0.3629,-0.0322,-0.0322,,0.0803,True,False,False,False,False
mistral-7b,CD900,1,0.5629,0.4159,0.0208,+0.0208,,1.0,False,True,True,True,True
mistral-7b,uniform,1,0.4995,0.4045,0.0094,+0.0094,,0.0,True,True,True,True,True
qwen3-1.7b,CD1200c,1,0.6657,0.7146,-0.0226,-0.0226,,0.1245,False,False,False,False,False
qwen3-1.7b,CD1200d,3,0.5945,0.7353,-0.0019,+0.0038;-0.0094;+0.0000,0.0068,0.0535,True,False,True,True,True
qwen3-1.7b,CD300,1,0.4727,0.7089,-0.0283,-0.0283,,0.0241,True,False,False,False,False
qwen3-1.7b,CD600,1,0.5031,0.7297,-0.0075,-0.0075,,0.0281,True,False,False,True,True
qwen3-1.7b,CD900,1,0.5181,0.7486,0.0114,+0.0114,,0.0201,True,True,True,True,True
qwen3-1.7b,conserv,1,0.4864,0.7694,0.0322,+0.0322,,0.0361,True,True,True,True,True
qwen3-1.7b,optimal,1,0.6323,0.7127,-0.0245,-0.0245,,0.0522,True,False,False,False,False
qwen3-1.7b,uniform,3,0.5745,0.7498,0.0126,+0.0095;+0.0246;+0.0038,0.0107,0.0442,True,True,True,True,True
qwen3-1.7b,v3frontier,3,0.6465,0.7158,-0.0214,-0.0056;-0.0359;-0.0226,0.0152,0.0629,True,False,False,False,False
qwen3-4b,CD1200c,1,0.8473,0.862,-0.0208,-0.0208,,0.2209,False,False,False,False,False
qwen3-4b,CD1200d,1,0.8255,0.8771,-0.0057,-0.0057,,0.1004,False,False,False,True,True
qwen3-4b,CD300,1,0.779,0.8696,-0.0132,-0.0132,,0.0321,True,False,False,False,True
qwen3-4b,CD600,1,0.7566,0.879,-0.0038,-0.0038,,0.0321,True,False,True,True,True
qwen3-4b,CD900,1,0.8141,0.8733,-0.0095,-0.0095,,0.1044,False,False,False,True,True
qwen3-4b,optimalv1,1,0.8527,0.8715,-0.0113,-0.0113,,0.1124,False,False,False,False,True
qwen3-4b,uniform,1,0.7762,0.8752,-0.0076,-0.0076,,0.0562,True,False,False,True,True
