model,axis,behavioral_score,loss_or_margin,kind
llama31-8b,Distractor,0.0076,-0.0484,deltaL
llama31-8b,Paraphrase,0.0,-0.2759,deltaL
llama31-8b,WC decision,0.9282,2.2732,margin
llama31-8b,CC keep,0.7902,-1.0827,margin
llama31-8b,Insuf stop,0.1888,-10.8175,margin
llama31-8b,Format contract,0.7164,16.9142,nll
llama31-8b,Original,0.0019,5.0101,nll
qwen25-7b,Distractor,0.2004,-0.0382,deltaL
qwen25-7b,Paraphrase,0.06,-0.2951,deltaL
qwen25-7b,WC decision,0.9376,7.9105,margin
qwen25-7b,CC keep,0.8015,-2.9674,margin
qwen25-7b,Insuf stop,0.4297,19.4788,margin
qwen25-7b,Format contract,0.9981,25.2999,nll
qwen25-7b,Original,0.1134,2.2816,nll
qwen3-0.6b,Distractor,0.4934,-0.1431,deltaL
qwen3-0.6b,Paraphrase,0.54,0.0614,deltaL
qwen3-0.6b,WC decision,0.9225,2.8126,margin
qwen3-0.6b,CC keep,0.1626,-1.87,margin
qwen3-0.6b,Insuf stop,0.1727,8.0768,margin
qwen3-0.6b,Format contract,0.017,25.0259,nll
qwen3-0.6b,Original,0.5161,3.1985,nll
qwen3-1.7b,Distractor,0.6692,-0.2959,deltaL
qwen3-1.7b,Paraphrase,0.76,0.2361,deltaL
qwen3-1.7b,WC decision,0.8053,6.2174,margin
qwen3-1.7b,CC keep,0.7637,-0.088,margin
qwen3-1.7b,Insuf stop,0.245,12.001,margin
qwen3-1.7b,Format contract,0.6711,36.424,nll
qwen3-1.7b,Original,0.7694,3.3524,nll
qwen3-4b,Distractor,0.7883,0.3324,deltaL
qwen3-4b,Paraphrase,0.8,0.5885,deltaL
qwen3-4b,WC decision,0.8488,8.5762,margin
qwen3-4b,CC keep,0.9036,-1.943,margin
qwen3-4b,Insuf stop,0.3133,10.9556,margin
qwen3-4b,Format contract,0.6805,27.2159,nll
qwen3-4b,Original,0.7883,3.4297,nll
qwen3-8b,Distractor,0.8223,0.7023,deltaL
qwen3-8b,Paraphrase,0.9,-0.5785,deltaL
qwen3-8b,WC decision,0.8374,17.3977,margin
qwen3-8b,CC keep,0.8733,-10.7344,margin
qwen3-8b,Insuf stop,0.2731,23.5747,margin
qwen3-8b,Format contract,0.7864,31.6468,nll
qwen3-8b,Original,0.8715,3.9125,nll
