run_id,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash,scorer_hash
KFM-0000-S42,KFM,0,42,lawv1_KFM-0000,0.0,198,8a3f9095d5124e32,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KFM-0030-S42,KFM,30,42,lawv1_KFM-0030,0.0077,198,b242d5ce015da7ea,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KFM-2000-S42,KFM,2000,42,lawv1_KFM-2000,0.45151,198,b8ea26487a21291d,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KEV-0000-S42,KEV,0,42,lawv1_KEV-0000,0.0,132,8a3f9095d5124e32,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KEV-0240-S42,KEV,240,42,lawv1_KEV-0240,0.1523,132,bb0eed892321ddde,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KEV-1529-S42,KEV,1529,42,lawv1_KEV-1529,1.0,132,4d99f0dddc26d185,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KRV-0000-S42,KRV,0,42,lawv1_KRV-0000,0.0,132,8a3f9095d5124e32,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KRV-0030-S42,KRV,30,42,lawv1_KRV-0030,0.01876,132,9bc14e3f5b41af3d,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KRV-1493-S42,KRV,1493,42,lawv1_KRV-1493,0.99943,132,b4c5db6e3094788f,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KAN-0000-S42,KAN,0,42,lawv1_KAN-0000,0.0,150,8a3f9095d5124e32,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KAN-0240-S42,KAN,240,42,lawv1_KAN-0240,0.0889,150,f1e510ca8f12ba55,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
KAN-2000-S42,KAN,2000,42,lawv1_KAN-2000,0.73692,150,a24a3eb716eb0189,74475808adf0ee37,0c61944af406daba,1354d6cfffc15ed1
