run_id,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash_current,scorer_hash
ANS-0000-S42,ANS,0,42,lawv1_ANS-0000,0.0,24,a9225cd69c3a8d26,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0000-S43,ANS,0,43,lawv1_ANS-0000,0.0,24,a9225cd69c3a8d26,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0000-S44,ANS,0,44,lawv1_ANS-0000,0.0,24,a9225cd69c3a8d26,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0030-S42,ANS,30,42,lawv1_ANS-0030,0.00803,24,f4eae6efdeae829a,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0060-S42,ANS,60,42,lawv1_ANS-0060,0.01661,24,02853e6a1efd3d8d,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0120-S42,ANS,120,42,lawv1_ANS-0120,0.03268,24,ccafccf1c4a7449f,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0120-S43,ANS,120,43,lawv1_ANS-0120,0.03268,24,ccafccf1c4a7449f,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0120-S44,ANS,120,44,lawv1_ANS-0120,0.03268,24,ccafccf1c4a7449f,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0240-S42,ANS,240,42,lawv1_ANS-0240,0.06366,24,46957e0dea6e1112,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0480-S42,ANS,480,42,lawv1_ANS-0480,0.13038,24,01caf7a43d7b8d4b,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0960-S42,ANS,960,42,lawv1_ANS-0960,0.26468,24,d1ebd0062d7dfbda,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0960-S43,ANS,960,43,lawv1_ANS-0960,0.26468,24,d1ebd0062d7dfbda,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-0960-S44,ANS,960,44,lawv1_ANS-0960,0.26468,24,d1ebd0062d7dfbda,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-1822-S42,ANS,1822,42,lawv1_ANS-1822,0.50407,24,99fe225c4b638ce9,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-1822-S43,ANS,1822,43,lawv1_ANS-1822,0.50407,24,99fe225c4b638ce9,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
ANS-1822-S44,ANS,1822,44,lawv1_ANS-1822,0.50407,24,99fe225c4b638ce9,74475808adf0ee37,5a07de96711d6f6e,ba135f1b2e87e25c
