run_id,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash_current,scorer_hash
EVD-0000-S42,EVD,0,42,lawv1_EVD-0000,0.0,22,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0000-S43,EVD,0,43,lawv1_EVD-0000,0.0,22,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0000-S44,EVD,0,44,lawv1_EVD-0000,0.0,22,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0030-S42,EVD,30,42,lawv1_EVD-0030,0.01918,22,ebb1ae0cd4f612fc,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0060-S42,EVD,60,42,lawv1_EVD-0060,0.03747,22,1cdb3a3974adc269,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0120-S42,EVD,120,42,lawv1_EVD-0120,0.0741,22,101482dbdfbafde5,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0120-S43,EVD,120,43,lawv1_EVD-0120,0.0741,22,101482dbdfbafde5,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0120-S44,EVD,120,44,lawv1_EVD-0120,0.0741,22,101482dbdfbafde5,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0240-S42,EVD,240,42,lawv1_EVD-0240,0.14768,22,708be40107266263,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0480-S42,EVD,480,42,lawv1_EVD-0480,0.29867,22,4777c933c97119af,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0960-S42,EVD,960,42,lawv1_EVD-0960,0.59079,22,49180d64e9e422ee,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0960-S43,EVD,960,43,lawv1_EVD-0960,0.59079,22,49180d64e9e422ee,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-0960-S44,EVD,960,44,lawv1_EVD-0960,0.59079,22,49180d64e9e422ee,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-1620-S42,EVD,1620,42,lawv1_EVD-1620,1.0,22,4e4475f2ff2e844c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-1620-S43,EVD,1620,43,lawv1_EVD-1620,1.0,22,4e4475f2ff2e844c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
EVD-1620-S44,EVD,1620,44,lawv1_EVD-1620,1.0,22,4e4475f2ff2e844c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
