run_id,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash_current,scorer_hash
REV-0000-S42,REV,0,42,lawv1_REV-0000,0.0,36,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0000-S43,REV,0,43,lawv1_REV-0000,0.0,36,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0000-S44,REV,0,44,lawv1_REV-0000,0.0,36,a9225cd69c3a8d26,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0030-S42,REV,30,42,lawv1_REV-0030,0.00537,36,0005f8c8dea3073e,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0060-S42,REV,60,42,lawv1_REV-0060,0.01074,36,988db1bcb7ab5199,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0120-S42,REV,120,42,lawv1_REV-0120,0.02196,36,0c8ae823530a934c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0120-S43,REV,120,43,lawv1_REV-0120,0.02196,36,0c8ae823530a934c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0120-S44,REV,120,44,lawv1_REV-0120,0.02196,36,0c8ae823530a934c,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0240-S42,REV,240,42,lawv1_REV-0240,0.04464,36,b8b51f79445ad031,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0480-S42,REV,480,42,lawv1_REV-0480,0.08954,36,8546b18bdce7ea02,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0960-S42,REV,960,42,lawv1_REV-0960,0.18067,36,33a85a19622fdd42,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0960-S43,REV,960,43,lawv1_REV-0960,0.18067,36,33a85a19622fdd42,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-0960-S44,REV,960,44,lawv1_REV-0960,0.18067,36,33a85a19622fdd42,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-2000-S42,REV,2000,42,lawv1_REV-2000,0.37622,36,a3c24b8658e5faad,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-2000-S43,REV,2000,43,lawv1_REV-2000,0.37622,36,a3c24b8658e5faad,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
REV-2000-S44,REV,2000,44,lawv1_REV-2000,0.37622,36,a3c24b8658e5faad,74475808adf0ee37,6c5c9e2b9c9625a8,ba135f1b2e87e25c
